Rank,Agent,Family,Param (c),Total Matches,Win Rate (%),Total Top 30% (%),Norm Mu (0-100),Norm Sigma,Score (Conservative 0-100),Top 30% (N=8),Top 30% (N=10),Top 30% (N=12),Top 30% (N=16),Top 30% (N=20),Top 30% (N=24),Top 30% (N=28),Top 30% (N=32)
11,Eps_e0.1,Eps,,33106,5.6666465293300305,59.56322116836827,80.1827587055819,2.094453085957571,73.89939944770919,27.298850574712645,41.705282669138086,39.17839482693039,52.50770523956291,66.15860393196378,65.49228718339364,67.33333333333333,68.72475476053087
12,AS_UCB_p7_s10.0_c0.05,AS_UCB,0.05,33016,4.809789193118489,41.95541555609402,78.7460311181979,2.1028000932017576,72.43763083859263,33.54143019296254,44.913267698077824,38.41532106646639,39.683933274802456,47.478418900499776,44.70744177239159,41.263526416295356,40.71246819338422
13,SW_AS_UCB_w100_p7_s5.0_c0.01,SW_AS_UCB,0.01,33231,4.558996118082513,39.114080226294725,76.56949599844324,2.087505284596185,70.30698014465469,22.455752212389378,22.070844686648503,17.242703533026113,19.418571831780977,34.37714285714286,47.20496894409938,51.28039942019649,52.693842645381984
14,AS_UCB_p7_s20.0_c0.05,AS_UCB,0.05,32978,5.688640912123233,44.82685426648069,76.2295052183197,2.0975474281584483,69.93686293384435,38.64406779661017,50.0,46.545319465081725,45.6590712431497,51.71546203110704,45.0374531835206,41.32231404958678,42.30769230769231
15,AS_UCB_p7_s10.0_c0.01,AS_UCB,0.01,32952,4.870721048798252,36.425710123816465,75.24000612665019,2.091242422797894,68.9662788582565,20.401337792642142,20.82560296846011,13.783783783783784,14.916330063473746,28.638920134983124,38.72788859616109,49.43493703584114,56.07035607035608
16,AS_UCB_p7_s5.0_c0.05,AS_UCB,0.05,32883,4.096341574673843,39.12355928595323,74.59232265838995,2.0781152702187478,68.35797684773371,31.309724564362,40.85621219171708,33.89830508474576,35.02001143510577,43.51744857869193,40.80590238365494,39.642972016725636,40.16640367235691
17,AS_UCB_p7_s20.0_c0.01,AS_UCB,0.01,33002,5.881461729592146,38.897642567117146,73.85780245104097,2.083455759513436,67.60743517250066,21.185952792170408,21.447841726618705,15.33510034078001,16.432865731462925,31.920649233543735,42.28377614471453,52.44458930899609,58.836084234490606
18,SW_UCB_w50_c0.1,SW_UCB,0.1,32789,7.484217267986216,41.82500228735246,73.29754234684312,2.087743100430549,67.03431304555146,36.49677797305213,43.06864064602961,37.4405705229794,45.00870574579222,50.99931082012405,44.693263078660145,39.42353883106485,36.981781666905746
19,AS_UCB_p7_s5.0_c0.01,AS_UCB,0.01,32810,5.065528802194453,37.89698262724779,72.88800408596335,2.0930186027317514,66.60894827776809,19.53828828828829,21.143928738865448,15.187452180566183,17.200474495848162,30.123231401186672,40.08272231622485,50.90126016908598,57.82577393808496
20,DecayEps_e0.1,DecayEps,,33089,3.430142947807428,45.474326815558044,72.54817693703367,2.075829463689149,66.32068854596622,25.058275058275058,38.367729831144466,34.17865253595761,38.310580204778155,49.68888888888889,51.014218009478675,50.2370417193426,49.326647564469916
